INSERT INTO users (name, email, password) VALUES
('John Coffey', 'lloydjames@example.com', '/bqXG9eWp.0l$o5Q/UFkNP3lhMv3proAo4pjWviDapcK78o03rLM3I/ibbUr'),
('Benjamin Lee', 'amyjohnson@example.org', '/RMnU5C5JPS8mhXOLYq4.AD$xObOoMoliM6d7G9EOjtL.ekjRYbSskw.0C3J'),
('Mark Johnson', 'vbennett@example.com', '1sCZsFLwFYYWm.maWTGf8zhQtzoY1HuQOynRkbdL3vsd9$BaVrkSK7xTwNfo'),
('Christopher Fields', 'dana28@example.org', 'SXMK$ZhctwMycjB$92xjgtltKqTlrlSbnzjr.DBpXzQ0lzuwFQxwAAWGmkPY'),
('Elizabeth Macias', 'thomas82@example.org', 'obSzqaH5K.E3vzjf8XcS8j8taux1C9ezgEOriHxLRnAmit39sUJqrtlqIJkj'),
('Julie Thomas', 'donald46@example.net', '6feV9FgpWxgnqL1Nn99wPJ4SxY3sen5zawchFg0hhVgcA/UjjlmeOrLdSa$3'),
('Debbie Roman', 'fpatterson@example.org', 'cDDM0SB$3fK46cyi5zB7gYcNIvobIigtQOnlpYToBxyEtLgy2ZmCyyz7nbuZ'),
('Andrew Bailey', 'daniel72@example.net', 'uxAQkRY6Ia1TQWUfwrV7ZhIKXIrLzepWaDB6/toSi1uJPdXnOvRbZv8egcJZ'),
('Justin Ellis', 'marshsusan@example.org', 'auQszL6IaVhwGuFr0owzkwxbEmhCtcOzGtRUx2vfUhAKFK/glluIKWgR.aNI'),
('Barbara Elliott', 'riosdennis@example.net', 'l/GYTjF2ma6FGNO6VdJB7jnCUrHwrSwS/gDn8LGv6dEkv4XMfYHfGj$E7/k1'),
('Justin Castillo', 'christopherrodriguez@example.net', 'TtMjNkW9Z$29OwLM9sDV.RaX.dXVkwQHpQVh3j/kdMIuxqWRTHpqAU24Zxyn'),
('Breanna Mata', 'berrychristopher@example.com', 'hj6v0u96CKryKxwM5Hscl152yOGnVDkobmyfXpVBF123bOSazfDI7fRqDxfD'),
('Samantha Parrish', 'jacksonedward@example.org', 'MbycMznU.q6uf2YjS1faUSKvBNre$H427WkcsNSzsVAk84uLXvzwlqoTW6OA'),
('Tammy Pennington', 'gilbertcorey@example.net', 'x.XTjto0eT5YyhvVHmDYKvgrFa5Yp$vuXY3OiyNds2tpnwKahjqvZTZLj6/s'),
('Stephanie Rios', 'stanleydavid@example.net', 'U1Kqe8kqLueJWszkMS/UCrRiU8yzK7Lc6iZ8DFeY4hxX6wrYIqZ$zZRfW62$'),
('Samantha Martinez', 'andrew82@example.net', 'ezbkaU9SHO0QWgFJiG6wrZ2cmLG1aO8xqxjcED3AIrzPMjHZz96wSC.VHxLQ'),
('Manuel Curtis', 'elizabethanderson@example.org', 'nNPxoTdHStlFsmZGF3.r6jqkecEXFs1ZR5sY0MmAGj3mDEJD0X//DigJ5BHa'),
('Rebecca Adams', 'gfisher@example.com', '6PSWYldJ0Esbe3euqbm8dyCVg3.YoxPYybajDyXz4rKI3SVYf3rbCQ0wcym9'),
('Alexander Simon', 'chad71@example.org', 'kIHgWu/x9jYvXbhMcwHkCw5CljkSpO7pNvGDvQknOSUjwJIaUaNnCUQgp0Ml'),
('Matthew Martinez', 'jennifermason@example.net', 'JcyEWiQDN8p6GzN0I8UT9kgyhy/gtNcYVaUYGN754X4geDWCiqmYWfERYbPA'),
('David Glenn', 'denise96@example.net', 'vWWYa9br8gKhvgCcgxe9vJStJzJWdGt49T6gu5DzslV4KGn73rUgH2vdVhMZ'),
('Virginia Watson', 'miguel40@example.com', 'y69oPnSQyng.0EWLnRUgn1xRGDH/O2B1JScaJS7yy$Ph5OsrA7IOzzbKwAqM'),
('Steven Cunningham', 'steven44@example.net', 'CI.qT.O3m0QwwdeyOqy2CtrA.tl10yuh0F8iEdgKRKAEfNM.o0bXLF8joxlC'),
('Stacey Rivera', 'edward99@example.com', 'q7$1bNGuZV65oEn0BGNc3EETjrDtEzHTxsNdxQVYD16zVQm$Jkg47.D1e3Q$'),
('Jasmine Martinez', 'woodwardkelly@example.net', 'yTV/KmKP2UvUUdMqfJWRdxHRdlqaPdZBmnlPDMPGsdTixFZxuY1aPohSsVdR'),
